id,browser_fingerprint,canvas_fingerprint,created_at,device_language,device_timezone,event_name,font_fingerprint,incognito,ip,periodic_wave,processed,screen_resolution,session,status,storage,updated_at,user_agent,user_id,utm,webgl_fingerprint
9cab3f76-331e-11ef-ae33-0242ac150002,277074862,1621631166,2024-06-25 18:13:24,en-US,-180,login,187968682,FALSE,197.186.15.86,1711425230,TRUE,360x772,gg85xtz8q9glth0g5n807,,14589193420,2024-06-25 18:13:24,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",976440,unset,2914676993
8f983e4c-ec60-11ee-8428-0242ac150003,1839317262,1444158610,2024-03-27 17:36:37,en-GB,-180,login,3347166215,FALSE,197.186.8.89,1711425230,TRUE,384x854,o85md7vyg7ly9ffbgi13j9,,68542896537,2024-03-27 17:36:37,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Mobile Safari/537.36",13806,unset,415380055
d89a73a6-bba2-11ee-9c4b-0242ac150002,85172289,2804971662,2024-01-25 16:57:39,en-US,-180,login,3347166215,FALSE,154.74.142.65,1711425230,TRUE,320x640,xnrud7wtr6n8m7ek1b558,,16132236902,2024-01-25 16:57:39,"Mozilla/5.0 (Linux; Android 11; TECNO BE6 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",942050,unset,3977598150
d7df187c-b2db-11ee-b755-0242ac150004,559764397,3882251135,2024-01-14 12:52:58,en-US,-180,login,3347166215,FALSE,197.250.130.238,1711425230,TRUE,360x800,dwucpzphn5krf1u0l97wz,,33925398528,2024-01-14 12:52:58,"Mozilla/5.0 (Linux; Android 11; TECNO KG6 Build/RP1A.200720.011) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.193 Mobile Safari/537.36",962023,unset,1625138886
095e3066-ffa1-11ee-8aa3-0242ac150002,1830016604,3851388571,2024-04-21 5:36:01,en-US,-180,login,3347166215,FALSE,196.249.98.104,1711425230,TRUE,360x800,fdt7i93bscblsb6eyrpdnj,,147007399526,2024-04-21 5:36:01,"Mozilla/5.0 (Linux; U; Android 12; Infinix X672 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.118 Mobile Safari/537.36 OPR/80.0.2254.71401",1037337,unset,2625141730
7793f6f2-f58b-11ee-97e3-0242ac150002,3051220223,872645671,2024-04-08 9:36:25,en-GB,-180,registration,3347166215,FALSE,197.186.16.131,1711425230,TRUE,412x915,gcej5jlhl9i8ww0axnh,,14721355776,2024-04-08 9:36:25,"Mozilla/5.0 (Linux; Android 12; SM-A025F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Mobile Safari/537.36",1027072,unset,2892941641
0ea2def7-2054-11ef-8b05-0242ac150002,279975236,3673822487,2024-06-01 20:18:07,en-US,-180,login,3347166215,FALSE,196.249.99.28,1711425230,TRUE,360x780,b6yxri7f5hw6d2uv6wzht4,,7345881906,2024-06-01 20:18:07,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",864306,unset,3088633128
d45d40e3-08a0-11ef-b7bd-0242ac150002,3515756990,503785432,2024-05-02 16:27:12,en-US,-180,login,3347166215,FALSE,197.250.130.247,1711425230,TRUE,412x869,lqwbbjqiwfn0cf0q4ugekwo,,148039205682,2024-05-02 16:27:12,"Mozilla/5.0 (Linux; Android 11; SM-N970F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Mobile Safari/537.36",1046490,unset,1118678036
e106ceb3-16ea-11ef-b917-0242ac150002,3106304442,4225202906,2024-05-20 20:52:33,en-US,-180,login,3347166215,FALSE,197.250.227.77,1711425230,TRUE,360x800,pgtjc6lexn0tt5cujtyg2d,,1852868744,2024-05-20 20:52:33,"Mozilla/5.0 (Linux; Android 8.1.0; Infinix X650) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Mobile Safari/537.36",564031,unset,3977598150
f18a5c24-9f21-11ee-b18a-0242ac150004,907370522,4045724056,2023-12-20 10:24:23,en-US,-180,registration,3170549156,FALSE,172.68.186.119,1711425230,TRUE,360x806,0csf6mo44mla8nmzvo2uge,,34189659340,2023-12-20 10:24:23,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36",952379,unset,3710509497
daa63bb3-b1d8-11ee-b93f-0242ac150004,145138591,1621410163,2024-01-13 5:59:03,en-US,-180,login,3347166215,FALSE,41.222.179.249,1711425230,TRUE,360x806,chn0c5vm29dninaex51pe,,33900232704,2024-01-13 5:59:03,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",712200,unset,979850370
ea078ddf-65a8-11ee-aa15-0242ac150004,3600883883,1692127388,2023-10-08 7:04:25,en-GB,-180,login,764954685,FALSE,172.68.186.88,1711425230,TRUE,430x932,glyw3vffwjflp4qv2btj1l,,41231686042,2023-10-08 7:04:25,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1",624748,unset,289696891
